region,file_name,reason
asia,chin067.rwl,failed to read rwl file
asia,chin069.rwl,failed to read rwl file
asia,russ278.rwl,failed to read rwl file
australia,ausl024.rwl,failed to read rwl file
australia,ausl050.rwl,precision unknown in series WKBB9B
australia,ausl053.rwl,failed to read rwl file
australia,ausl054.rwl,failed to read rwl file
australia,newz130.rwl,failed to read rwl file
europe,brit036.rwl,failed to read rwl file
europe,brit037.rwl,failed to read rwl file
europe,brit039.rwl,failed to read rwl file
europe,swed334.rwl,failed to read rwl file
europe,swit240.rwl,failed to read rwl file
europe,turk043.rwl,failed to read rwl file
canada,cana097p.rwl,failed to read rwl file
canada,cana165.rwl,failed to read rwl file
canada,cana166.rwl,failed to read rwl file
canada,cana167.rwl,failed to read rwl file
canada,cana586.rwl,failed to read rwl file
canada,cana597.rwl,precision unknown in series YF22M8
canada,cana600b.rwl,failed to read rwl file
canada,cana601.rwl,failed to read rwl file
canada,cana607.rwl,failed to read rwl file
canada,cana607b.rwl,failed to read rwl file
canada,cana638.rwl,failed to read rwl file
canada,cana641.rwl,"precision unknown in series LJO08A, LJO08B, LJO11A, LJO11B"
usa,ak193.rwl,failed to read rwl file
usa,ak196.rwl,failed to read rwl file
usa,ak198.rwl,failed to read rwl file
usa,ca535.rwl,failed to read rwl file
usa,ca692e.rwl,failed to read rwl file
usa,ca692l.rwl,failed to read rwl file
usa,ca717.rwl,failed to read rwl file
usa,ca726.rwl,precision unknown in series MHCA51
usa,co657.rwl,failed to read rwl file
usa,co662.rwl,failed to read rwl file
usa,co663.rwl,failed to read rwl file
usa,co672.rwl,failed to read rwl file
usa,co673.rwl,failed to read rwl file
usa,co689.rwl,failed to read rwl file
usa,in008.rwl,precision unknown in series DWT70B
usa,in010.rwl,failed to read rwl file
usa,in013.rwl,precision unknown in series HET05A
usa,in030.rwl,precision unknown in series DWO11A
usa,ma029.rwl,precision unknown in series MBL42A
usa,mt172.rwl,failed to read rwl file
usa,mt174.rwl,failed to read rwl file
usa,nc027.rwl,failed to read rwl file
usa,nc028l.rwl,precision unknown in series FTL102A
usa,nc030e.rwl,failed to read rwl file
usa,nc032.rwl,failed to read rwl file
usa,nc032e.rwl,precision unknown in series SGL_01A
usa,nc033e.rwl,failed to read rwl file
usa,nc033l.rwl,precision unknown in series HSS_100
usa,nc10orig.rwl,failed to read rwl file
usa,nd014.rwl,failed to read rwl file
usa,nh009.rwl,failed to read rwl file
usa,nv520.rwl,failed to read rwl file
usa,oh008.rwl,failed to read rwl file
usa,ut528.rwl,failed to read rwl file
usa,va038.rwl,failed to read rwl file
usa,wi014.rwl,failed to read rwl file
usa,wi026.rwl,failed to read rwl file
usa,wv012.rwl,precision unknown in series CM01J03v
usa,wy057.rwl,failed to read rwl file
usa,wy064.rwl,failed to read rwl file
southamerica,arge139.rwl,failed to read rwl file
southamerica,arge141.rwl,failed to read rwl file
southamerica,arge143.rwl,failed to read rwl file
southamerica,arge144.rwl,failed to read rwl file
